Player,Year,Rating,Team
LeBron James,NBA 2K25,96,Los Angeles Lakers
LeBron James,NBA 2K24,96,Los Angeles Lakers
LeBron James,NBA 2K23,96,Los Angeles Lakers
LeBron James,NBA 2K22,96,Los Angeles Lakers
LeBron James,NBA 2K21,97,Los Angeles Lakers
LeBron James,NBA 2K20,97,Los Angeles Lakers
LeBron James,NBA 2K19,98,Los Angeles Lakers
LeBron James,NBA 2K18,97,Cleveland Cavaliers
LeBron James,NBA 2K17,96,Cleveland Cavaliers
LeBron James,NBA 2K16,94,Cleveland Cavaliers
LeBron James,NBA 2K15,98,Cleveland Cavaliers
LeBron James,NBA 2K14,99,Miami Heat
LeBron James,NBA 2K13,98,Miami Heat
LeBron James,NBA 2K12,98,Miami Heat
LeBron James,NBA 2K11,97,Miami Heat
LeBron James,NBA 2K10,96,Cleveland Cavaliers
LeBron James,NBA 2K9,99,Cleveland Cavaliers
LeBron James,NBA 2K8,97,Cleveland Cavaliers
LeBron James,NBA 2K7,98,Cleveland Cavaliers
LeBron James,NBA 2K6,97,Cleveland Cavaliers
LeBron James,NBA 2K5,88,Cleveland Cavaliers
LeBron James,NBA 2K4,78,Cleveland Cavaliers
Kevin Durant,NBA 2K25,93,Phoenix Suns
Kevin Durant,NBA 2K24,96,Phoenix Suns
Kevin Durant,NBA 2K23,96,"Brooklyn Nets, Phoenix Suns"
Kevin Durant,NBA 2K22,96,Brooklyn Nets
Kevin Durant,NBA 2K21,95,Brooklyn Nets
Kevin Durant,NBA 2K20,96,Brooklyn Nets
Kevin Durant,NBA 2K19,97,Golden State Warriors
Kevin Durant,NBA 2K18,96,Golden State Warriors
Kevin Durant,NBA 2K17,93,Golden State Warriors
Kevin Durant,NBA 2K16,91,Oklahoma City Thunder
Kevin Durant,NBA 2K15,95,Oklahoma City Thunder
Kevin Durant,NBA 2K14,94,Oklahoma City Thunder
Kevin Durant,NBA 2K13,94,Oklahoma City Thunder
Kevin Durant,NBA 2K12,92,Oklahoma City Thunder
Kevin Durant,NBA 2K11,91,Oklahoma City Thunder
Kevin Durant,NBA 2K10,82,Oklahoma City Thunder
Kevin Durant,NBA 2K9,83,Oklahoma City Thunder
Kevin Durant,NBA 2K8,80,Seattle Supersonics
